right_key	vertex	rem0	rem1	twin0	twin1	guess	domain_mask	matched
6136	0	2	3	4	4	8	8160	1
6137	0	2	3	4	5	7	8128	1
6138	0	2	3	4	6	5	8096	1
6139	0	2	3	4	7	5	8032	1
6140	0	2	3	4	8	10	7904	1
6141	0	2	3	4	9	5	7648	1
6142	0	2	3	4	10	5	7136	1
6143	0	2	3	4	11	5	6112	1
6144	0	2	3	4	12	5	4064	1
6150	0	2	3	5	4	7	8128	1
6151	0	2	3	5	5	7	8144	1
6152	0	2	3	5	6	7	8080	1
6153	0	2	3	5	7	8	8016	1
6154	0	2	3	5	8	10	7888	1
6155	0	2	3	5	9	8	7632	1
6156	0	2	3	5	10	8	7120	1
6157	0	2	3	5	11	8	6096	1
6158	0	2	3	5	12	7	4048	1
6164	0	2	3	6	4	7	8096	1
6165	0	2	3	6	5	7	8080	1
6166	0	2	3	6	6	5	8112	1
6167	0	2	3	6	7	5	7984	1
6168	0	2	3	6	8	5	7856	1
6169	0	2	3	6	9	5	7600	1
6170	0	2	3	6	10	5	7088	1
6171	0	2	3	6	11	5	6064	1
6172	0	2	3	6	12	5	4016	1
6178	0	2	3	7	4	10	8032	1
6179	0	2	3	7	5	11	8016	1
6180	0	2	3	7	6	8	7984	1
6181	0	2	3	7	7	8	8048	1
6182	0	2	3	7	8	10	7792	1
6183	0	2	3	7	9	8	7536	1
6184	0	2	3	7	10	11	7024	1
6185	0	2	3	7	11	8	6000	1
6186	0	2	3	7	12	11	3952	1
6192	0	2	3	8	4	7	7904	1
6193	0	2	3	8	5	11	7888	1
6194	0	2	3	8	6	5	7856	1
6195	0	2	3	8	7	5	7792	1
6196	0	2	3	8	8	10	7920	1
6197	0	2	3	8	9	5	7408	1
6198	0	2	3	8	10	5	6896	1
6199	0	2	3	8	11	5	5872	1
6200	0	2	3	8	12	5	3824	1
6206	0	2	3	9	4	8	7648	1
6207	0	2	3	9	5	6	7632	1
6208	0	2	3	9	6	5	7600	1
6209	0	2	3	9	7	5	7536	1
6210	0	2	3	9	8	5	7408	1
6211	0	2	3	9	9	5	7664	1
6212	0	2	3	9	10	5	6640	1
6213	0	2	3	9	11	5	5616	1
6214	0	2	3	9	12	5	3568	1
6220	0	2	3	10	4	8	7136	1
6221	0	2	3	10	5	11	7120	1
6222	0	2	3	10	6	5	7088	1
6223	0	2	3	10	7	8	7024	1
6224	0	2	3	10	8	5	6896	1
6225	0	2	3	10	9	5	6640	1
6226	0	2	3	10	10	5	7152	1
6227	0	2	3	10	11	5	5104	1
6228	0	2	3	10	12	5	3056	1
6234	0	2	3	11	4	7	6112	1
6235	0	2	3	11	5	7	6096	1
6236	0	2	3	11	6	7	6064	1
6237	0	2	3	11	7	8	6000	1
6238	0	2	3	11	8	10	5872	1
6239	0	2	3	11	9	8	5616	1
6240	0	2	3	11	10	8	5104	1
6241	0	2	3	11	11	8	6128	1
6242	0	2	3	11	12	7	2032	1
6248	0	2	3	12	4	8	4064	1
6249	0	2	3	12	5	11	4048	1
6250	0	2	3	12	6	5	4016	1
6251	0	2	3	12	7	5	3952	1
6252	0	2	3	12	8	5	3824	1
6253	0	2	3	12	9	8	3568	1
6254	0	2	3	12	10	5	3056	1
6255	0	2	3	12	11	5	2032	1
6256	0	2	3	12	12	5	4080	1
6317	0	2	4	3	3	10	8160	1
6319	0	2	4	3	5	7	8128	1
6320	0	2	4	3	6	7	8096	1
6321	0	2	4	3	7	5	8032	1
6322	0	2	4	3	8	5	7904	1
6323	0	2	4	3	9	5	7648	1
6324	0	2	4	3	10	11	7136	1
6325	0	2	4	3	11	7	6112	1
6326	0	2	4	3	12	5	4064	1
6345	0	2	4	5	3	7	8128	1
6347	0	2	4	5	5	7	8136	1
6348	0	2	4	5	6	7	8072	1
6349	0	2	4	5	7	8	8008	1
6350	0	2	4	5	8	7	7880	1
6351	0	2	4	5	9	7	7624	1
6352	0	2	4	5	10	7	7112	1
6353	0	2	4	5	11	7	6088	1
6354	0	2	4	5	12	10	4040	1
6359	0	2	4	6	3	5	8096	1
6361	0	2	4	6	5	7	8072	1
6362	0	2	4	6	6	5	8104	1
6363	0	2	4	6	7	5	7976	1
6364	0	2	4	6	8	7	7848	1
6365	0	2	4	6	9	5	7592	1
6366	0	2	4	6	10	7	7080	1
6367	0	2	4	6	11	7	6056	1
6368	0	2	4	6	12	5	4008	1
6373	0	2	4	7	3	5	8032	1
6375	0	2	4	7	5	8	8008	1
6376	0	2	4	7	6	5	7976	1
6377	0	2	4	7	7	5	8040	1
6378	0	2	4	7	8	5	7784	1
6379	0	2	4	7	9	5	7528	1
6380	0	2	4	7	10	8	7016	1
6381	0	2	4	7	11	5	5992	1
6382	0	2	4	7	12	5	3944	1
6387	0	2	4	8	3	5	7904	1
6389	0	2	4	8	5	10	7880	1
6390	0	2	4	8	6	10	7848	1
6391	0	2	4	8	7	10	7784	1
6392	0	2	4	8	8	6	7912	1
6393	0	2	4	8	9	5	7400	1
6394	0	2	4	8	10	11	6888	1
6395	0	2	4	8	11	10	5864	1
6396	0	2	4	8	12	5	3816	1
6401	0	2	4	9	3	5	7648	1
6403	0	2	4	9	5	7	7624	1
6404	0	2	4	9	6	5	7592	1
6405	0	2	4	9	7	8	7528	1
6406	0	2	4	9	8	5	7400	1
6407	0	2	4	9	9	5	7656	1
6408	0	2	4	9	10	8	6632	1
6409	0	2	4	9	11	7	5608	1
6410	0	2	4	9	12	5	3560	1
6415	0	2	4	10	3	5	7136	1
6417	0	2	4	10	5	7	7112	1
6418	0	2	4	10	6	5	7080	1
6419	0	2	4	10	7	5	7016	1
6420	0	2	4	10	8	5	6888	1
6421	0	2	4	10	9	5	6632	1
6422	0	2	4	10	10	7	7144	1
6423	0	2	4	10	11	8	5096	1
6424	0	2	4	10	12	5	3048	1
6429	0	2	4	11	3	7	6112	1
6431	0	2	4	11	5	7	6088	1
6432	0	2	4	11	6	8	6056	1
6433	0	2	4	11	7	8	5992	1
6434	0	2	4	11	8	7	5864	1
6435	0	2	4	11	9	7	5608	1
6436	0	2	4	11	10	7	5096	1
6437	0	2	4	11	11	7	6120	1
6438	0	2	4	11	12	10	2024	1
6443	0	2	4	12	3	5	4064	1
6445	0	2	4	12	5	7	4040	1
6446	0	2	4	12	6	5	4008	1
6447	0	2	4	12	7	5	3944	1
6448	0	2	4	12	8	5	3816	1
6449	0	2	4	12	9	5	3560	1
6450	0	2	4	12	10	7	3048	1
6451	0	2	4	12	11	5	2024	1
6452	0	2	4	12	12	10	4072	1
6513	0	2	5	3	3	6	8144	1
6514	0	2	5	3	4	8	8128	1
6516	0	2	5	3	6	11	8080	1
6517	0	2	5	3	7	8	8016	1
6518	0	2	5	3	8	10	7888	1
6519	0	2	5	3	9	8	7632	1
6520	0	2	5	3	10	11	7120	1
6521	0	2	5	3	11	8	6096	1
6522	0	2	5	3	12	8	4048	1
6527	0	2	5	4	3	6	8128	1
6528	0	2	5	4	4	8	8136	1
6530	0	2	5	4	6	7	8072	1
6531	0	2	5	4	7	8	8008	1
6532	0	2	5	4	8	6	7880	1
6533	0	2	5	4	9	6	7624	1
6534	0	2	5	4	10	6	7112	1
6535	0	2	5	4	11	8	6088	1
6536	0	2	5	4	12	7	4040	1
6555	0	2	5	6	3	7	8080	1
6556	0	2	5	6	4	7	8072	1
6558	0	2	5	6	6	8	8088	1
6559	0	2	5	6	7	11	7960	1
6560	0	2	5	6	8	10	7832	1
6561	0	2	5	6	9	7	7576	1
6562	0	2	5	6	10	7	7064	1
6563	0	2	5	6	11	7	6040	1
6564	0	2	5	6	12	8	3992	1
6569	0	2	5	7	3	10	8016	1
6570	0	2	5	7	4	11	8008	1
6572	0	2	5	7	6	11	7960	1
6573	0	2	5	7	7	10	8024	1
6574	0	2	5	7	8	10	7768	1
6575	0	2	5	7	9	10	7512	1
6576	0	2	5	7	10	11	7000	1
6577	0	2	5	7	11	10	5976	1
6578	0	2	5	7	12	10	3928	1
6583	0	2	5	8	3	7	7888	1
6584	0	2	5	8	4	7	7880	1
6586	0	2	5	8	6	7	7832	1
6587	0	2	5	8	7	11	7768	1
6588	0	2	5	8	8	12	7896	1
6589	0	2	5	8	9	7	7384	1
6590	0	2	5	8	10	7	6872	1
6591	0	2	5	8	11	7	5848	1
6592	0	2	5	8	12	7	3800	1
6597	0	2	5	9	3	6	7632	1
6598	0	2	5	9	4	8	7624	1
6600	0	2	5	9	6	8	7576	1
6601	0	2	5	9	7	8	7512	1
6602	0	2	5	9	8	6	7384	1
6603	0	2	5	9	9	10	7640	1
6604	0	2	5	9	10	11	6616	1
6605	0	2	5	9	11	8	5592	1
6606	0	2	5	9	12	10	3544	1
6611	0	2	5	10	3	8	7120	1
6612	0	2	5	10	4	7	7112	1
6614	0	2	5	10	6	7	7064	1
6615	0	2	5	10	7	8	7000	1
6616	0	2	5	10	8	11	6872	1
6617	0	2	5	10	9	11	6616	1
6618	0	2	5	10	10	7	7128	1
6619	0	2	5	10	11	7	5080	1
6620	0	2	5	10	12	7	3032	1
6625	0	2	5	11	3	7	6096	1
6626	0	2	5	11	4	7	6088	1
6628	0	2	5	11	6	7	6040	1
6629	0	2	5	11	7	8	5976	1
6630	0	2	5	11	8	10	5848	1
