left	right_key	vertex	target	twin0_colour	twin1_colour	clique
0	124339	3	2	5	5	13,0,1,2,3,4
1	29182	0	2	5	6	13,0,1,2,3,4
2	44554	1	12	5	7	13,0,1,2,3,4
3	124342	3	2	5	8	13,0,1,2,3,4
4	99313	2	7	5	9	13,0,1,2,3,4
5	99314	2	7	5	11	13,0,1,2,3,4
6	99308	2	7	5	12	13,0,1,2,3,4
7	29174	0	2	7	5	13,0,1,2,3,4
8	124368	3	2	7	6	13,0,1,2,3,4
9	29173	0	2	7	7	13,0,1,2,3,4
10	198262	5	4	7	8	13,0,1,2,3,4
11	124371	3	2	7	9	13,0,1,2,3,4
12	124373	3	2	7	11	13,0,1,2,3,4
13	124374	3	2	7	12	13,0,1,2,3,4
14	29090	0	2	8	5	13,0,1,2,3,4
15	29084	0	2	8	6	13,0,1,2,3,4
16	29089	0	2	8	7	13,0,1,2,3,4
17	29083	0	2	8	8	13,0,1,2,3,4
18	198277	5	4	8	9	13,0,1,2,3,4
19	29081	0	2	8	11	13,0,1,2,3,4
20	29082	0	2	8	12	13,0,1,2,3,4
21	124395	3	2	9	5	13,0,1,2,3,4
22	124396	3	2	9	6	13,0,1,2,3,4
23	124397	3	2	9	7	13,0,1,2,3,4
24	29139	0	2	9	8	13,0,1,2,3,4
25	99341	2	7	9	9	13,0,1,2,3,4
26	99342	2	7	9	11	13,0,1,2,3,4
27	124402	3	2	9	12	13,0,1,2,3,4
28	44622	1	12	10	5	13,0,1,2,3,4
29	44623	1	12	10	6	13,0,1,2,3,4
30	44624	1	12	10	7	13,0,1,2,3,4
31	29111	0	2	10	8	13,0,1,2,3,4
32	44626	1	12	10	9	13,0,1,2,3,4
33	44628	1	12	10	11	13,0,1,2,3,4
34	160088	4	3	10	12	13,0,1,2,3,4
35	124423	3	2	11	5	13,0,1,2,3,4
36	198316	5	4	11	6	13,0,1,2,3,4
37	124425	3	2	11	7	13,0,1,2,3,4
38	198318	5	4	11	8	13,0,1,2,3,4
39	29059	0	2	11	9	13,0,1,2,3,4
40	198321	5	4	11	11	13,0,1,2,3,4
41	29054	0	2	11	12	13,0,1,2,3,4
42	29076	0	2	12	5	13,0,1,2,3,4
43	99263	2	7	12	6	13,0,1,2,3,4
44	124439	3	2	12	7	13,0,1,2,3,4
