seed	deficiency	S	N	tails	min_occ	max_occ	proj0	proj1	proj2	proj3	proj4	proj5	unmatched_tail	unmatched_x	unmatched_y
1	1	5938	5937	990	5	6	989	990	990	988	990	990	989	6	6
6	1	5938	5937	990	5	6	990	990	989	989	989	990	989	8	8
17	1	5938	5937	990	5	6	989	990	990	989	989	990	989	9	9
18	1	5937	5936	990	5	6	989	990	989	988	990	990	989	8	8
21	1	5939	5938	990	5	6	989	990	990	989	990	990	989	5	5
25	1	5936	5935	990	5	6	990	990	988	989	988	990	989	5	5
45	1	5939	5938	990	5	6	989	989	990	990	990	990	988	5	5
49	1	5939	5938	990	5	6	989	990	990	990	989	990	989	6	6
64	1	5936	5935	990	5	6	988	989	990	990	988	990	989	4	4
90	1	5939	5938	990	5	6	989	990	990	990	990	989	989	8	8
99	1	5940	5939	990	6	6	989	990	990	990	990	990	989	8	8
104	1	5939	5938	990	5	6	990	990	989	990	990	989	989	7	7
116	1	5938	5937	990	5	6	990	988	990	990	989	990	989	8	8
120	1	5940	5939	990	6	6	990	990	990	990	989	990	989	6	6
123	1	5937	5936	990	5	6	990	988	990	990	988	990	989	7	7
124	1	5938	5937	990	5	6	989	989	990	990	989	990	989	8	8
128	1	5940	5939	990	6	6	990	990	990	989	990	990	989	7	7
191	1	5937	5936	990	5	6	990	990	989	988	990	989	989	2	2
192	1	5939	5938	990	5	6	990	990	990	990	989	989	989	7	7
219	1	5937	5936	990	5	6	989	989	989	989	990	990	989	3	3
238	1	5940	5939	990	6	6	989	990	990	990	990	990	989	8	8
266	1	5938	5937	990	5	6	989	989	990	989	990	990	989	9	9
296	1	5936	5935	990	5	6	988	989	990	989	989	990	989	8	8
